breed,parity,kgmilk,cellcount,cowid,InCalf
3,1,13.2,20,56700527,1
3,1,13.7,20,56700528,0
3,1,13.9,20,56700531,1
3,1,16.7,20,56700533,0
3,4,22.8,30,59000581,0
3,4,11.8,130,59000683,1
3,1,16.2,960,61910449,0
3,1,13.2,530,61910451,1
3,1,15.2,70,61910453,1
3,1,13.8,110,61910460,1
3,6,14.8,180,62950341,1
3,5,26,300,62950356,1
3,3,12.4,1270,63590395,0
1,1,15,20,66210685,1
3,4,12.8,100,67650531,0
3,3,21.4,290,68770581,1
3,3,23.6,110,68770582,1
3,2,10.8,510,68770583,0
3,2,7.2,370,68770584,1
3,2,18.6,50,68770589,0
3,2,18.4,120,68770590,0
3,2,9.6,70,68770591,0
3,1,10.4,60,68770594,0
3,1,12.4,100,68770596,1
3,3,15.2,480,68770600,1
3,3,15.4,480,68770601,0
3,3,20.4,70,68770602,0
3,1,9.6,200,68770605,1
3,1,12.8,220,68770606,1
3,1,15.8,580,68770607,1
3,1,14.2,50,68770610,0
3,1,16.8,80,68770612,1
3,1,15.4,330,68770622,1
3,4,12.4,80,68770673,0
3,3,13.4,150,68770677,0
3,3,15.8,150,68770679,1
1,4,15.3,1060,70700486,0
2,2,8.8,580,72560450,0
2,4,23.2,280,79030233,1
2,3,10,680,79030246,1
2,3,19.8,110,79030255,1
2,3,22.4,100,79030270,1
2,3,21.2,110,79030288,1
2,2,17.2,270,79030296,0
2,2,17.6,200,79030317,1
2,2,18.4,20,79030321,1
2,2,12.8,160,79030322,0
2,2,23.6,40,79030326,1
2,2,27.6,30,79030328,0
2,2,18,110,79030331,1
2,2,22,110,79030336,1
2,2,20.2,110,79030337,0
2,2,21.2,100,79030339,1
2,2,17,2310,79030341,0
2,2,19.6,280,79030345,1
2,2,23.6,290,79030349,1
2,2,27.2,30,79030361,0
8,1,8.2,150,79030362,1
2,2,26.6,570,79030364,1
2,1,17.4,130,79030365,1
8,1,19.2,20,79030366,1
8,1,10.8,80,79030373,1
2,1,20.2,180,79030374,0
2,1,27,70,79030375,1
2,1,19.2,140,79030385,1
2,1,10.4,430,79030386,0
2,1,23.2,30,79030389,1
2,2,12.4,1510,79030393,1
2,1,22,100,79030394,0
2,1,24.4,90,79030400,1
2,1,24,240,79030401,0
2,1,21.4,20,79030405,0
2,1,21.6,30,79030410,1
2,1,27.8,70,79030413,1
2,1,27.2,10,79030415,0
3,1,18,50,79030416,0
2,1,23.2,100,79030417,1
2,1,24,30,79030422,0
2,1,12.6,110,79030443,0
2,1,9.8,80,79030455,1
3,3,15.4,50,79160381,1
3,6,19.1,10,80050400,1
2,2,23,140,80950566,1
3,8,16.2,290,81870316,0
8,4,27.3,4330,83300590,1
1,3,17.2,220,83300597,0
1,4,32.3,1060,83300622,1
1,3,33,150,83300623,0
1,3,20.6,110,83300631,1
3,3,6.1,240,83300633,0
3,3,23.5,650,83300645,1
3,3,28.7,10,83300652,1
8,2,22.2,30,83300653,1
1,2,4.7,840,83300661,1
